Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Students With Disabilities,15,18,83.3
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,White,19,26,73.1
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,All,72,157,45.9
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Asian,*,*,*
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Black/African American,*,*,*
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Economically Disadvantaged,37,99,37.4
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Female,41,67,61.2
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Hispanic or Latino,28,81,34.6
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Male,31,90,34.4
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Migrant,*,*,*
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Native American ,*,*,*
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Students With Disabilities,*,13,30.8
2010,4 Year,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,White,34,58,58.6
2010,4 Year,80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,Maricopa,All,108,181,59.7
2010,4 Year,80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,Maricopa,Asian,*,*,*
2010,4 Year,80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,Maricopa,Black/African American,28,42,66.7
